features_suite,features_bedroom,total_area,original_address_neighborhood,state_name,features_garage,features_bathroom,city_raw,transaction_sale,original_address_longitude,original_address_latitude,sqrmeter_price_area_sale
0,0,185.0,Itaipu,Rio de Janeiro,0,0,Niterói,870000.0,-43.0349197,-22.9651909,4702.7027027027025
0,0,320.0,Icaraí,Rio de Janeiro,0,0,Niterói,2350000.0,-43.1103096,-22.9075813,7343.75
0,0,341.0,Icaraí,Rio de Janeiro,0,0,Niterói,4200000.0,-43.1152229,-22.8858967,12316.715542521993
0,0,216.0,Icaraí,Rio de Janeiro,0,0,Niterói,1650000.0,-43.104332,-22.9007702,7638.888888888889
0,0,271.0,Icaraí,Rio de Janeiro,0,0,Niterói,2200000.0,-43.104126,-22.9043541,8118.081180811808
0,0,179.0,Ingá,Rio de Janeiro,0,0,Niterói,1300000.0,-43.1242981,-22.9014091,7262.569832402235
0,0,175.0,Icaraí,Rio de Janeiro,0,0,Niterói,1160000.0,-43.0989799,-22.9056644,6628.571428571428
0,0,150.0,Maceió,Rio de Janeiro,0,0,Niterói,590000.0,-43.0658989,-22.9146004,3933.3333333333335
0,0,241.0,São Francisco,Rio de Janeiro,0,0,Niterói,1850000.0,-43.0830078,-22.9122849,7676.348547717842
0,0,170.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,840000.0,-43.094593,-22.903595,4941.176470588235
0,0,200.0,Icaraí,Rio de Janeiro,0,0,Niterói,1100000.0,-43.1033287,-22.9023571,5500.0
0,0,260.0,Icaraí,Rio de Janeiro,0,0,Niterói,1250000.0,-43.1063538,-22.9115944,4807.692307692308
0,0,360.0,Ingá,Rio de Janeiro,0,0,Niterói,790000.0,-43.1222477,-22.9038413,2194.4444444444443
0,0,156.0,Piratininga,Rio de Janeiro,0,0,Niterói,988000.0,-43.0608366,-22.9382995,6333.333333333333
0,0,186.0,Icaraí,Rio de Janeiro,0,0,Niterói,1200000.0,-43.1071815,-22.9007416,6451.612903225807
0,0,279.0,Icaraí,Rio de Janeiro,0,0,Niterói,4200000.0,-43.1160011,-22.9041996,15053.763440860215
0,0,230.0,Badu,Rio de Janeiro,0,0,Niterói,1300000.0,-43.0634995,-22.9076004,5652.173913043478
0,0,300.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,860000.0,-43.094593,-22.903595,2866.6666666666665
0,0,300.0,Ingá,Rio de Janeiro,0,0,Niterói,1500000.0,-43.1272392,-22.9033566,5000.0
0,0,249.0,Charitas,Rio de Janeiro,0,0,Niterói,3350000.0,-43.095417,-22.9266357,13453.815261044178
0,0,180.0,Pé Pequeno,Rio de Janeiro,0,0,Niterói,990000.0,-43.1023788,-22.8966007,5500.0
0,0,190.0,Icaraí,Rio de Janeiro,0,0,Niterói,1785000.0,-43.1079712,-22.9122467,9394.736842105263
0,0,120.0,Icaraí,Rio de Janeiro,0,0,Niterói,900000.0,-43.1080437,-22.9004765,7500.0
0,0,170.0,Icaraí,Rio de Janeiro,0,0,Niterói,1790000.0,-43.1094666,-22.9091721,10529.411764705883
0,0,147.0,Fonseca,Rio de Janeiro,0,0,Niterói,500000.0,-43.0870152,-22.8813,3401.360544217687
0,0,169.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,800000.0,-43.0924263,-22.9041004,4733.7278106508875
0,0,130.0,Centro,Rio de Janeiro,0,0,Niterói,680000.0,-43.1136742,-22.8931332,5230.7692307692305
0,0,190.0,Ingá,Rio de Janeiro,0,0,Niterói,1300000.0,-43.1242981,-22.9014091,6842.105263157895
0,0,200.0,Icaraí,Rio de Janeiro,0,0,Niterói,1200000.0,-43.1109314,-22.9012051,6000.0
0,0,500.0,Boa Viagem,Rio de Janeiro,0,0,Niterói,5900000.0,-43.1256561,-22.9060211,11800.0
0,0,224.0,Camboinhas,Rio de Janeiro,0,0,Niterói,1690000.0,-43.0531006,-22.9547005,7544.642857142857
0,0,185.0,Icaraí,Rio de Janeiro,0,0,Niterói,2400000.0,-43.1087189,-22.9005547,12972.972972972973
0,0,142.0,Badu,Rio de Janeiro,0,0,Niterói,640000.0,-43.0634995,-22.9076004,4507.042253521126
0,0,188.0,Icaraí,Rio de Janeiro,0,0,Niterói,1100000.0,-43.101265,-22.9048576,5851.063829787234
0,0,150.0,Icaraí,Rio de Janeiro,0,0,Niterói,850000.0,-43.1030388,-22.9107456,5666.666666666667
0,0,167.0,Boa Viagem,Rio de Janeiro,0,0,Niterói,980000.0,-43.1311684,-22.9067783,5868.263473053892
0,0,145.0,Fonseca,Rio de Janeiro,0,0,Niterói,540000.0,-43.0880852,-22.8881741,3724.137931034483
